,e1,e2,sim
0,http://dbpedia.org/resource/Mestalla_Stadium,http://www.wikidata.org/entity/Q202762,1.0
1,http://dbpedia.org/resource/György_Orth,http://www.wikidata.org/entity/Q719431,1.0
2,http://dbpedia.org/resource/Hayate_no_Gotoku!_(song),http://www.wikidata.org/entity/Q5686134,1.0
3,http://dbpedia.org/resource/Prince_Andrew_of_Yugoslavia,http://www.wikidata.org/entity/Q501446,1.0
4,http://dbpedia.org/resource/Ernst-Wilhelm_Modrow,http://www.wikidata.org/entity/Q5394897,1.0
5,http://dbpedia.org/resource/Şehzade_Mehmed,http://www.wikidata.org/entity/Q2991195,1.0
6,http://dbpedia.org/resource/John_I_of_Aragon,http://www.wikidata.org/entity/Q358374,1.0
7,http://dbpedia.org/resource/Egon_Eis,http://www.wikidata.org/entity/Q88658,1.0
8,http://dbpedia.org/resource/Reach_for_the_Sky_(Mai_Kuraki_song),http://www.wikidata.org/entity/Q374946,1.0
9,http://dbpedia.org/resource/Reach_for_the_Sky_(The_Allman_Brothers_Band_album),http://www.wikidata.org/entity/Q374946,1.0
10,http://dbpedia.org/resource/Dr._Luke,http://www.wikidata.org/entity/Q350588,1.0
11,http://dbpedia.org/resource/Mercedes_Sosa,http://www.wikidata.org/entity/Q216450,1.0
12,http://dbpedia.org/resource/Dragon's_Dogma,http://www.wikidata.org/entity/Q3083413,1.0
13,http://dbpedia.org/resource/Katherine_DeMille,http://www.wikidata.org/entity/Q454944,1.0
14,http://dbpedia.org/resource/Hermann_Wilhelm_Vogel,http://www.wikidata.org/entity/Q64714,1.0
15,http://dbpedia.org/resource/Lego_Batman_3:_Beyond_Gotham,http://www.wikidata.org/entity/Q17007953,1.0
16,http://dbpedia.org/resource/Nicol_Williamson,http://www.wikidata.org/entity/Q725374,1.0
17,http://dbpedia.org/resource/Raymond_Hackett,http://www.wikidata.org/entity/Q7298829,1.0
18,http://dbpedia.org/resource/Otto_Heurnius,http://www.wikidata.org/entity/Q556932,1.0
19,http://dbpedia.org/resource/All_Through_the_Night_(Cyndi_Lauper_song),http://www.wikidata.org/entity/Q392785,1.0
20,http://dbpedia.org/resource/Bodil_Jørgensen,http://www.wikidata.org/entity/Q2559831,1.0
21,http://dbpedia.org/resource/Charles_Stanton_Ogle,http://www.wikidata.org/entity/Q1065688,1.0
22,http://dbpedia.org/resource/Garfield_Morgan,http://www.wikidata.org/entity/Q472079,1.0
23,http://dbpedia.org/resource/The_Grim_Adventures_of_Billy_&_Mandy_(video_game),http://www.wikidata.org/entity/Q11704395,1.0
24,http://dbpedia.org/resource/Sergio_Amidei,http://www.wikidata.org/entity/Q1360286,1.0
25,http://dbpedia.org/resource/A_Night_Out_(film),http://www.wikidata.org/entity/Q2294295,1.0
26,http://dbpedia.org/resource/Mompati_Merafhe,http://www.wikidata.org/entity/Q2436517,1.0
27,http://dbpedia.org/resource/Heydar_Aliyev,http://www.wikidata.org/entity/Q157451,1.0
28,http://dbpedia.org/resource/Ghost_Train_(1927_film),http://www.wikidata.org/entity/Q5557199,1.0
29,http://dbpedia.org/resource/Eliza_Osgood_Vanderbilt_Webb,http://www.wikidata.org/entity/Q5362177,1.0
30,http://dbpedia.org/resource/Kari_Jobe,http://www.wikidata.org/entity/Q513041,1.0
31,http://dbpedia.org/resource/We're_in_the_Money_(film),http://www.wikidata.org/entity/Q859801,1.0
32,"http://dbpedia.org/resource/Fernando_Poe,_Sr.",http://www.wikidata.org/entity/Q5444879,1.0
33,http://dbpedia.org/resource/Hizkias_Assefa,http://www.wikidata.org/entity/Q17305644,1.0
34,http://dbpedia.org/resource/The_Lazarus_Project,http://www.wikidata.org/entity/Q956483,1.0
35,http://dbpedia.org/resource/Meet_the_Browns_(film),http://www.wikidata.org/entity/Q6807832,1.0
36,http://dbpedia.org/resource/The_Unforgettable_Fire,http://www.wikidata.org/entity/Q536336,1.0
37,http://dbpedia.org/resource/The_Unforgettable_Fire_(song),http://www.wikidata.org/entity/Q536336,1.0
38,http://dbpedia.org/resource/Abby_Mann,http://www.wikidata.org/entity/Q306891,1.0
39,http://dbpedia.org/resource/Hans_van_den_Broek,http://www.wikidata.org/entity/Q712105,1.0
40,"http://dbpedia.org/resource/Louis_de_Luxembourg,_Count_of_Saint-Pol",http://www.wikidata.org/entity/Q551625,1.0
41,http://dbpedia.org/resource/Camouflage_(2001_film),http://www.wikidata.org/entity/Q1029722,1.0
42,http://dbpedia.org/resource/Camouflage_(2001_film),http://www.wikidata.org/entity/Q5026924,1.0
43,http://dbpedia.org/resource/Camouflage_(Brad_Paisley_song),http://www.wikidata.org/entity/Q1029722,1.0
44,http://dbpedia.org/resource/Camouflage_(Brad_Paisley_song),http://www.wikidata.org/entity/Q5026924,1.0
45,http://dbpedia.org/resource/Camouflage_(Rod_Stewart_album),http://www.wikidata.org/entity/Q1029722,1.0
46,http://dbpedia.org/resource/Camouflage_(Rod_Stewart_album),http://www.wikidata.org/entity/Q5026924,1.0
47,http://dbpedia.org/resource/Harold_Pinter,http://www.wikidata.org/entity/Q41042,1.0
48,http://dbpedia.org/resource/Wally_Albright,http://www.wikidata.org/entity/Q739663,1.0
49,http://dbpedia.org/resource/Benjamin_Harrison,http://www.wikidata.org/entity/Q35678,1.0
50,http://dbpedia.org/resource/Avianca,http://www.wikidata.org/entity/Q308911,1.0
51,http://dbpedia.org/resource/7_Berryz_Times,http://www.wikidata.org/entity/Q1105871,1.0
52,http://dbpedia.org/resource/José_María_Campo_Serrano,http://www.wikidata.org/entity/Q887916,1.0
53,http://dbpedia.org/resource/Jozef_Ignác_Bajza,http://www.wikidata.org/entity/Q265676,1.0
54,http://dbpedia.org/resource/Edmund_Stoiber,http://www.wikidata.org/entity/Q44507,1.0
55,http://dbpedia.org/resource/Garrison_Keillor,http://www.wikidata.org/entity/Q183031,1.0
56,http://dbpedia.org/resource/Love_Gun,http://www.wikidata.org/entity/Q755019,1.0
