,e1,e2
0,http://dbpedia.org/resource/Sebastian_Koch,http://www.wikidata.org/entity/Q63187
1,http://dbpedia.org/resource/John_Ensign,http://www.wikidata.org/entity/Q529372
2,http://dbpedia.org/resource/Unholy_(song),http://www.wikidata.org/entity/Q692917
3,http://dbpedia.org/resource/Call_Me_Miss...,http://www.wikidata.org/entity/Q1027104
4,http://dbpedia.org/resource/Joaquin_Paris,http://www.wikidata.org/entity/Q3179771
5,http://dbpedia.org/resource/New_York_Days,http://www.wikidata.org/entity/Q2780080
6,http://dbpedia.org/resource/Jeffrey_D._Sams,http://www.wikidata.org/entity/Q957254
7,http://dbpedia.org/resource/Jennifer_8,http://www.wikidata.org/entity/Q731776
8,http://dbpedia.org/resource/Marie_d'Alençon,http://www.wikidata.org/entity/Q3847599
9,http://dbpedia.org/resource/Nancy_Kelly,http://www.wikidata.org/entity/Q251634
10,"http://dbpedia.org/resource/Philip,_Prince_of_Portugal",http://www.wikidata.org/entity/Q2422498
11,http://dbpedia.org/resource/Condor_Flugdienst,http://www.wikidata.org/entity/Q312517
12,http://dbpedia.org/resource/Günther_Anhalt,http://www.wikidata.org/entity/Q4354668
13,http://dbpedia.org/resource/Lydia_Maria_Child,http://www.wikidata.org/entity/Q443132
14,http://dbpedia.org/resource/Tom_at_the_Farm,http://www.wikidata.org/entity/Q3530946
15,http://dbpedia.org/resource/Nationalist_Republican_Alliance,http://www.wikidata.org/entity/Q1146480
16,http://dbpedia.org/resource/Pornography_(album),http://www.wikidata.org/entity/Q904080
17,http://dbpedia.org/resource/Thérèse_Liotard,http://www.wikidata.org/entity/Q2514766
18,http://dbpedia.org/resource/Just_a_Dream_(Nelly_song),http://www.wikidata.org/entity/Q594711
19,http://dbpedia.org/resource/Nigel_Davenport,http://www.wikidata.org/entity/Q1064691
20,http://dbpedia.org/resource/Province_of_Pennsylvania,http://www.wikidata.org/entity/Q2475732
21,http://dbpedia.org/resource/Vyvyan_Holland,http://www.wikidata.org/entity/Q713325
22,http://dbpedia.org/resource/Stanko_Kotnik,http://www.wikidata.org/entity/Q7599368
23,http://dbpedia.org/resource/Heroes_of_Newerth,http://www.wikidata.org/entity/Q180434
24,http://dbpedia.org/resource/Élodie_Bouchez,http://www.wikidata.org/entity/Q236138
25,http://dbpedia.org/resource/Pargalı_Ibrahim_Pasha,http://www.wikidata.org/entity/Q511943
26,http://dbpedia.org/resource/Co-no-Mi-chi,http://www.wikidata.org/entity/Q838207
27,http://dbpedia.org/resource/Chuck_Versus_the_Fat_Lady,http://www.wikidata.org/entity/Q5115779
28,http://dbpedia.org/resource/The_Youngest_Profession,http://www.wikidata.org/entity/Q7776834
29,http://dbpedia.org/resource/Brad_Hall,http://www.wikidata.org/entity/Q1193027
30,http://dbpedia.org/resource/Home_(Sheryl_Crow_song),http://www.wikidata.org/entity/Q3786395
31,http://dbpedia.org/resource/Gertrude_of_Saxony,http://www.wikidata.org/entity/Q1884931
32,http://dbpedia.org/resource/Haakon_the_Young,http://www.wikidata.org/entity/Q888209
33,http://dbpedia.org/resource/Powers_Boothe,http://www.wikidata.org/entity/Q503027
34,http://dbpedia.org/resource/A_Crown_of_Swords,http://www.wikidata.org/entity/Q1850845
35,http://dbpedia.org/resource/Elinor_Kershaw,http://www.wikidata.org/entity/Q3722999
36,http://dbpedia.org/resource/Mildred_Natwick,http://www.wikidata.org/entity/Q240217
