,e1,e2
0,http://dbpedia.org/resource/Ignazio_Cocchiere,http://yago-knowledge.org/resource/Ignazio_Cocchiere
1,http://dbpedia.org/resource/Souleymanou_Hamidou,http://yago-knowledge.org/resource/Souleymanou_Hamidou
2,http://dbpedia.org/resource/Michael_Beauchamp,http://yago-knowledge.org/resource/Michael_Beauchamp
3,http://dbpedia.org/resource/James_Coppinger,http://yago-knowledge.org/resource/James_Coppinger
4,http://dbpedia.org/resource/Besence,http://yago-knowledge.org/resource/Besence
5,http://dbpedia.org/resource/Arthur_Hutchins,http://yago-knowledge.org/resource/Arthur_Hutchins
6,http://dbpedia.org/resource/Patrick_Bamford,http://yago-knowledge.org/resource/Patrick_Bamford
7,http://dbpedia.org/resource/Viktor_Bulatov,http://yago-knowledge.org/resource/Viktor_Bulatov
8,http://dbpedia.org/resource/Hans_Denissen,http://yago-knowledge.org/resource/Hans_Denissen
9,http://dbpedia.org/resource/Sean_O'Connor_(soccer),http://yago-knowledge.org/resource/Sean_O'Connor_(soccer)
10,http://dbpedia.org/resource/Terence_Mophuting,http://yago-knowledge.org/resource/Terence_Mophuting
11,http://dbpedia.org/resource/Daisuke_Ichikawa,http://yago-knowledge.org/resource/Daisuke_Ichikawa
12,http://dbpedia.org/resource/Joe_Mihaljevic,http://yago-knowledge.org/resource/Joe_Mihaljevic
13,http://dbpedia.org/resource/Leandro_Caruso,http://yago-knowledge.org/resource/Leandro_Caruso
14,http://dbpedia.org/resource/Stefan_Spirovski,http://yago-knowledge.org/resource/Stefan_Spirovski
15,http://dbpedia.org/resource/Mike_Havenaar,http://yago-knowledge.org/resource/Mike_Havenaar
16,http://dbpedia.org/resource/Nicolas_Seguin,http://yago-knowledge.org/resource/Nicolas_Seguin
17,http://dbpedia.org/resource/Mick_Tait,http://yago-knowledge.org/resource/Mick_Tait
18,http://dbpedia.org/resource/Giuseppe_Caccavallo,http://yago-knowledge.org/resource/Giuseppe_Caccavallo
19,http://dbpedia.org/resource/Ralph_Caraffi,http://yago-knowledge.org/resource/Ralph_Caraffi
20,http://dbpedia.org/resource/Sherjill_MacDonald,http://yago-knowledge.org/resource/Sherjill_MacDonald
21,http://dbpedia.org/resource/Toumani_Diagouraga,http://yago-knowledge.org/resource/Toumani_Diagouraga
22,http://dbpedia.org/resource/Leslie_Fitzpatrick,http://yago-knowledge.org/resource/Leslie_Fitzpatrick
23,http://dbpedia.org/resource/Kim_Hyun-seok,http://yago-knowledge.org/resource/Kim_Hyun-Seok
24,http://dbpedia.org/resource/Gorka_Pintado,http://yago-knowledge.org/resource/Gorka_Pintado
25,http://dbpedia.org/resource/Luke_Summerfield,http://yago-knowledge.org/resource/Luke_Summerfield
26,http://dbpedia.org/resource/Sergio_Livingstone,http://yago-knowledge.org/resource/Sergio_Livingstone
27,http://dbpedia.org/resource/Andrius_Skerla,http://yago-knowledge.org/resource/Andrius_Skerla
28,http://dbpedia.org/resource/Emeka_Obidile,http://yago-knowledge.org/resource/Emeka_Obidile
29,http://dbpedia.org/resource/Great_Burdon,http://yago-knowledge.org/resource/Great_Burdon
30,http://dbpedia.org/resource/Jimmy_Husband,http://yago-knowledge.org/resource/Jimmy_Husband
31,http://dbpedia.org/resource/Djamal_Mahamat,http://yago-knowledge.org/resource/Djamal_Mahamat
32,http://dbpedia.org/resource/Vincenzo_Camilleri,http://yago-knowledge.org/resource/Vincenzo_Camilleri
