,e1,e2
0,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Spock,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Spock
1,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Ton,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Megaton
2,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Olmerak_system,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Olmerak_system
3,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Triclenidil,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Triclenidil
4,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Kotanka_system,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Kotanka_system
5,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Daniels_(Crewman),http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Daniels_(Crewman)
6,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Benjamin_Maxwell,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Benjamin_Maxwell
7,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Dividices,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/IRW_Dividices
8,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Tycho_City,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Tycho_City
9,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Deep_Space_Station_K-7,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Deep_Space_Station_K-7
10,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/T%27Pol,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/T%27Pol
11,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/class/sidebar_planet,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/class/planet_info
12,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Shroud,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Shroud
13,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Transporter_chief,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Transporter_chief
14,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Nyota_Uhura,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Nyota_Uhura
15,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/First_Battle_of_Deep_Space_9,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/First_Battle_of_Deep_Space_9
