,e1,e2
0,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Death_(comic),http://dbkwik.webdatacommons.org/memory-beta.wikia.com/resource/Death_(comic)
1,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/2188,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/resource/2188
2,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Zora,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/resource/Zora
3,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/USS_Gorkon,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/resource/USS_Gorkon
4,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/The_Tears_of_the_Singers,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/resource/The_Tears_of_the_Singers
5,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/USS_Enterprise_(replica),http://dbkwik.webdatacommons.org/memory-beta.wikia.com/resource/USS_Enterprise_(Gideon)
6,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/1940s,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/resource/1940s
7,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/2134,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/resource/2134
8,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Sara_Pichelli,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/resource/Sara_Pichelli
9,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Clare_Raymond,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/resource/Clare_Raymond
10,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Impulse_drive,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/resource/Impulse_engine
11,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Tom_Markel,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/resource/Tom_Markel
12,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Zahl_starship,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/resource/Zahl_heavy_cruiser
13,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Stewed_bok-rat_liver,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/resource/Bok-rat
14,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Star_Trek_Roleplaying_Game_(Decipher),http://dbkwik.webdatacommons.org/memory-beta.wikia.com/resource/Star_Trek_Roleplaying_Game_(Decipher)
15,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Ragnarok,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/resource/Ragnarok
16,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Bajoran_Militia,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/resource/Bajoran_Militia
17,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Kotan_Pa%27Dar,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/resource/Kotan_Pa%27Dar
