,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,e1,e2,http://knowledgeweb.semanticweb.org/heterogeneity/alignmentrelation,sim
0,http://knowledgeweb.semanticweb.org/heterogeneity/alignmentCell,http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/resource/A%27Lars,http://dbkwik.webdatacommons.org/marvel.wikia.com/resource/A%27Lars,=,1.0
1,http://knowledgeweb.semanticweb.org/heterogeneity/alignmentCell,http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/resource/A%27askavariians,http://dbkwik.webdatacommons.org/marvel.wikia.com/resource/A%27askvarii,=,1.0
2,http://knowledgeweb.semanticweb.org/heterogeneity/alignmentCell,http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/resource/A.I.M.,http://dbkwik.webdatacommons.org/marvel.wikia.com/resource/A.I.M.,=,1.0
3,http://knowledgeweb.semanticweb.org/heterogeneity/alignmentCell,http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/resource/Aakons,http://dbkwik.webdatacommons.org/marvel.wikia.com/resource/Aakon,=,1.0
4,http://knowledgeweb.semanticweb.org/heterogeneity/alignmentCell,http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/resource/Prowler,http://dbkwik.webdatacommons.org/marvel.wikia.com/resource/Aaron_Davis,=,1.0
5,http://knowledgeweb.semanticweb.org/heterogeneity/alignmentCell,http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/resource/Abner_Croit,http://dbkwik.webdatacommons.org/marvel.wikia.com/resource/Abner_Croit,=,1.0
6,http://knowledgeweb.semanticweb.org/heterogeneity/alignmentCell,http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/resource/Abomination,http://dbkwik.webdatacommons.org/marvel.wikia.com/resource/Abomination,=,1.0
7,http://knowledgeweb.semanticweb.org/heterogeneity/alignmentCell,http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/resource/Abraham_Erskine,http://dbkwik.webdatacommons.org/marvel.wikia.com/resource/Abraham_Erskine,=,1.0
8,http://knowledgeweb.semanticweb.org/heterogeneity/alignmentCell,http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/resource/Absorbing_Man,http://dbkwik.webdatacommons.org/marvel.wikia.com/resource/Absorbing_Man,=,1.0
9,http://knowledgeweb.semanticweb.org/heterogeneity/alignmentCell,http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/resource/Abstract,http://dbkwik.webdatacommons.org/marvel.wikia.com/resource/Abstract_(Book),=,1.0
10,http://knowledgeweb.semanticweb.org/heterogeneity/alignmentCell,http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/resource/AccuTech,http://dbkwik.webdatacommons.org/marvel.wikia.com/resource/AccuTech,=,1.0
11,http://knowledgeweb.semanticweb.org/heterogeneity/alignmentCell,http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/resource/Adam_Warlock,http://dbkwik.webdatacommons.org/marvel.wikia.com/resource/Adam_Warlock,=,1.0
