,e1,e2
0,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/July_5,http://dbpedia.org/resource/July_5
1,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Vacuum/Legends,http://dbpedia.org/resource/Vacuum
2,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Richard_Edlund,http://dbpedia.org/resource/Richard_Edlund
3,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/July_6,http://dbpedia.org/resource/July_6
4,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Dave_Gibbons,http://dbpedia.org/resource/Dave_Gibbons
5,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Adam_Gidwitz,http://dbpedia.org/resource/Adam_Gidwitz
6,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Argon_(gas),http://dbpedia.org/resource/Argon
7,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/June_20,http://dbpedia.org/resource/June_20
8,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Ron_Howard,http://dbpedia.org/resource/Ron_Howard
9,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Mike_W._Barr,http://dbpedia.org/resource/Mike_W._Barr
10,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/August_3,http://dbpedia.org/resource/August_3
11,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Clare_Grant,http://dbpedia.org/resource/Clare_Grant
12,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/February_26,http://dbpedia.org/resource/February_26
13,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/April_9,http://dbpedia.org/resource/April_9
14,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Free_Comic_Book_Day,http://dbpedia.org/resource/Free_Comic_Book_Day
15,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Blood/Legends,http://dbpedia.org/resource/Blood
16,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Hemocyanin,http://dbpedia.org/resource/Hemocyanin
17,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/March_2,http://dbpedia.org/resource/March_2
18,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Ali_Hillis,http://dbpedia.org/resource/Ali_Hillis
19,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Grenade/Legends,http://dbpedia.org/resource/Grenade
20,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/John_Knoll,http://dbpedia.org/resource/John_Knoll
21,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Silver,http://dbpedia.org/resource/Silver
22,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Halite,http://dbpedia.org/resource/Halite
23,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/January_31,http://dbpedia.org/resource/January_31
