,e1,p1,o1,e2,p2,o2,equals
0,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/James_T._Kirk_(alternate_reality),http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/property/gender,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Gender,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/James_T._Kirk_(alternate_reality),http://dbkwik.webdatacommons.org/stexpanded.wikia.com/property/gender,Male,FALSE
1,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/James_T._Kirk_(alternate_reality),http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/property/father,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Unnamed_Humans_(alternate_reality),http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/James_T._Kirk_(alternate_reality),http://dbkwik.webdatacommons.org/stexpanded.wikia.com/property/father,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/George_Kirk,Unknown
2,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/James_T._Kirk_(alternate_reality),http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/property/species,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Human,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/James_T._Kirk_(alternate_reality),http://dbkwik.webdatacommons.org/stexpanded.wikia.com/property/species,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Human,TRUE
3,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/James_T._Kirk_(alternate_reality),http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/property/actor,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Chris_Pine,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/James_T._Kirk_(alternate_reality),http://dbkwik.webdatacommons.org/stexpanded.wikia.com/property/actor,Chris Pine,TRUE
4,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/James_T._Kirk_(alternate_reality),http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/property/actor,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Jimmy_Bennett,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/James_T._Kirk_(alternate_reality),http://dbkwik.webdatacommons.org/stexpanded.wikia.com/property/actor,Chris Pine,FALSE
5,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/James_T._Kirk_(alternate_reality),http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/property/actor,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Unknown_performers,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/James_T._Kirk_(alternate_reality),http://dbkwik.webdatacommons.org/stexpanded.wikia.com/property/actor,Chris Pine,FALSE
6,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/USS_Yeager_(NCC-65674),http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/property/name,USS Yeager,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/USS_Yeager_(NCC-65674),http://dbkwik.webdatacommons.org/stexpanded.wikia.com/property/name,USS Yeager,TRUE
7,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Aeroshuttle,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/property/type,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Runabout,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Aeroshuttle,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/property/type,shuttlecraft,FALSE
8,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Aeroshuttle,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/property/name,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Voyager_aeroshuttle,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Aeroshuttle,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/property/name,Aeroshuttle,FALSE
9,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/USS_Excelsior,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/property/name,USS Excelsior,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/USS_Excelsior_(prototype),http://dbkwik.webdatacommons.org/stexpanded.wikia.com/property/name,USS Excelsior,TRUE
10,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/USS_Excelsior,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/property/status,Active,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/USS_Excelsior_(prototype),http://dbkwik.webdatacommons.org/stexpanded.wikia.com/property/status,Active,TRUE
11,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Valeris,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/property/gender,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Gender,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Valeris,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/property/gender,female,FALSE
12,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Valeris,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/property/species,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Vulcan,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Valeris,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/property/species,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Vulcan,TRUE
13,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Valeris,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/property/actor,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Kim_Cattrall,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Valeris,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/property/actor,Kim Cattrall,TRUE
14,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Valeris,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/property/rank,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Lieutenant,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Valeris,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/property/rank,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Lieutenant,TRUE
15,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/USS_Horatio,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/property/name,USS Horatio,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/USS_Horatio_(NCC-10532),http://dbkwik.webdatacommons.org/stexpanded.wikia.com/property/name,USS Horatio,TRUE
