,e1,p1,o1,e2,p2,o2,equals
0,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Eskella_Gryton,http://dbkwik.webdatacommons.org/starwars.wikia.com/property/death,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Korriban,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Eskella_Gryton,http://dbkwik.webdatacommons.org/swtor.wikia.com/property/died,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/10_ATC,FALSE
1,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Eskella_Gryton,http://dbkwik.webdatacommons.org/starwars.wikia.com/property/death,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/3643_BBY,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Eskella_Gryton,http://dbkwik.webdatacommons.org/swtor.wikia.com/property/died,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/10_ATC,Unknown
2,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Eskella_Gryton,http://dbkwik.webdatacommons.org/starwars.wikia.com/property/hair,Black,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Eskella_Gryton,http://dbkwik.webdatacommons.org/swtor.wikia.com/property/hair,Black,TRUE
3,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Eskella_Gryton,http://dbkwik.webdatacommons.org/starwars.wikia.com/property/skin,Dark,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Eskella_Gryton,http://dbkwik.webdatacommons.org/swtor.wikia.com/property/skin,Dark,TRUE
4,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Eskella_Gryton,http://dbkwik.webdatacommons.org/starwars.wikia.com/property/name,Eskella Gryton,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Eskella_Gryton,http://dbkwik.webdatacommons.org/swtor.wikia.com/property/name,Eskella,TRUE
5,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Willem,http://dbkwik.webdatacommons.org/starwars.wikia.com/property/gender,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Sexes/Legends,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Medical_Officer_Willem,http://dbkwik.webdatacommons.org/swtor.wikia.com/property/gender,Male,FALSE
6,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Willem,http://dbkwik.webdatacommons.org/starwars.wikia.com/property/name,Willem,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Medical_Officer_Willem,http://dbkwik.webdatacommons.org/swtor.wikia.com/property/name,Medical Officer Willem,TRUE
7,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Avorr,http://dbkwik.webdatacommons.org/starwars.wikia.com/property/gender,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Sexes/Legends,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Avorr,http://dbkwik.webdatacommons.org/swtor.wikia.com/property/gender,Male,FALSE
8,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Avorr,http://dbkwik.webdatacommons.org/starwars.wikia.com/property/name,Avorr,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Avorr,http://dbkwik.webdatacommons.org/swtor.wikia.com/property/name,Lord Avorr,TRUE
9,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Zora,http://dbkwik.webdatacommons.org/starwars.wikia.com/property/gender,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Sexes/Legends,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Wraith,http://dbkwik.webdatacommons.org/swtor.wikia.com/property/gender,Female,FALSE
10,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Zora,http://dbkwik.webdatacommons.org/starwars.wikia.com/property/name,Zora,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Wraith,http://dbkwik.webdatacommons.org/swtor.wikia.com/property/name,Wraith,FALSE
11,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Strayen,http://dbkwik.webdatacommons.org/starwars.wikia.com/property/gender,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Sexes/Legends,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Strayen,http://dbkwik.webdatacommons.org/swtor.wikia.com/property/gender,Male,FALSE
