,e1,p1,o1,e2,p2,o2,equals
0,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/USS_Aries,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/property/registry,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/NCC,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/resource/USS_Aries_(NCC-45167),http://dbkwik.webdatacommons.org/memory-beta.wikia.com/property/registry,NCC-45167,FALSE
1,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/USS_Aries,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/property/name,USS Aries,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/resource/USS_Aries_(NCC-45167),http://dbkwik.webdatacommons.org/memory-beta.wikia.com/property/name,USS Aries,TRUE
2,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/USS_Aries,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/property/status,Active,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/resource/USS_Aries_(NCC-45167),http://dbkwik.webdatacommons.org/memory-beta.wikia.com/property/status,succeeded in name by,FALSE
3,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Bajoran_interceptor,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/property/type,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Attack_fighter,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/resource/Perikian_class,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/property/type,baj,FALSE
4,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Bajoran_interceptor,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/property/type,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Attack_fighter,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/resource/Perikian_class,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/property/type,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/resource/Interceptor,FALSE
5,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Vandros_IV,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/property/type,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Planet,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/resource/Vandros_IV,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/property/type,dom,FALSE
6,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/The_Covenant_of_the_Crown,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/property/next,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/The_Prometheus_Design,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/resource/The_Covenant_of_the_Crown,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/property/after,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/resource/The_Prometheus_Design,TRUE
7,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/The_Covenant_of_the_Crown,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/property/pages,191,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/resource/The_Covenant_of_the_Crown,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/property/pages,158,FALSE
8,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/The_Covenant_of_the_Crown,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/property/stardate,7815.3,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/resource/The_Covenant_of_the_Crown,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/property/stardate,7521.6,TRUE
9,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/The_Covenant_of_the_Crown,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/property/prev,"http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Double,_Double",http://dbkwik.webdatacommons.org/memory-beta.wikia.com/resource/The_Covenant_of_the_Crown,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/property/before,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/resource/The_Klingon_Gambit,FALSE
10,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/The_Covenant_of_the_Crown,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/property/prev,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/The_Klingon_Gambit,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/resource/The_Covenant_of_the_Crown,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/property/before,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/resource/The_Klingon_Gambit,TRUE
11,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Surak_(shuttlecraft),http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/property/registry,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/VS,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/resource/Surak_(shuttlecraft),http://dbkwik.webdatacommons.org/memory-beta.wikia.com/property/registry,VS 5047 6119225984-5,FALSE
12,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Surak_(shuttlecraft),http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/property/name,Surak,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/resource/Surak_(shuttlecraft),http://dbkwik.webdatacommons.org/memory-beta.wikia.com/property/name,Surak,TRUE
13,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Surak_(shuttlecraft),http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/property/status,Active,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/resource/Surak_(shuttlecraft),http://dbkwik.webdatacommons.org/memory-beta.wikia.com/property/status,active,TRUE
14,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Thirteenth_UK_Story_Arc,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/property/next,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Fourteenth_UK_Story_Arc,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/resource/Mutiny_on_the_Dorado,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/property/after,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/resource/The_Ageless_One,TRUE
15,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Thirteenth_UK_Story_Arc,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/property/pages,14,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/resource/Mutiny_on_the_Dorado,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/property/pages,14,TRUE
16,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Thirteenth_UK_Story_Arc,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/property/stardate,unknown,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/resource/Mutiny_on_the_Dorado,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/property/stardate,unknown,TRUE
17,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Ch%27Targh,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/property/gender,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Gender,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/resource/Ch%27Targh,http://dbkwik.webdatacommons.org/memory-beta.wikia.com/property/gender,male,FALSE
