,e1,p1,o1,e2,p2,o2,equals
0,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Alliance_disruptor,http://dbkwik.webdatacommons.org/starwars.wikia.com/property/type,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Disruptor_pistol,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Alliance_Disruptor,http://dbkwik.webdatacommons.org/swg.wikia.com/property/type,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Pistol,Unknown
1,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Alliance_disruptor,http://dbkwik.webdatacommons.org/starwars.wikia.com/property/name,Alliance disruptor,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Alliance_Disruptor,http://dbkwik.webdatacommons.org/swg.wikia.com/property/name,Alliance Disruptor,TRUE
2,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Fried_crispic,http://dbkwik.webdatacommons.org/starwars.wikia.com/property/name,Fried crispic,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Crispic,http://dbkwik.webdatacommons.org/swg.wikia.com/property/name,Crispic,TRUE
3,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/G1-M4-C_Dunelizard_fighter,http://dbkwik.webdatacommons.org/starwars.wikia.com/property/name,G1-M4-C Dunelizard fighter,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/MandalMotors_G1-M4-C_%22Dunelizard%22_Starfighter,http://dbkwik.webdatacommons.org/swg.wikia.com/property/name,Dunelizard,TRUE
4,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/T%27iil-T%27iil,http://dbkwik.webdatacommons.org/starwars.wikia.com/property/name,T'iil-T'iil,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/T%27illa-T%27iil,http://dbkwik.webdatacommons.org/swg.wikia.com/property/name,T'illa-T'iil,TRUE
5,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Jawa_beer,http://dbkwik.webdatacommons.org/starwars.wikia.com/property/name,Jawa beer,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Jawa_Beer,http://dbkwik.webdatacommons.org/swg.wikia.com/property/name,Jawa Beer,TRUE
6,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/YT-2400_light_freighter/Legends,http://dbkwik.webdatacommons.org/starwars.wikia.com/property/name,YT-2400 light freighter,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/YT-2400,http://dbkwik.webdatacommons.org/swg.wikia.com/property/name,YT-2400,TRUE
7,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Trimpian,http://dbkwik.webdatacommons.org/starwars.wikia.com/property/name,Trimpian,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Trimpian,http://dbkwik.webdatacommons.org/swg.wikia.com/property/name,Trimpian,TRUE
8,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Kenkirk,http://dbkwik.webdatacommons.org/starwars.wikia.com/property/name,Kenkirk,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Cmdr._Kenkirk,http://dbkwik.webdatacommons.org/swg.wikia.com/property/name,Cmdr. Kenkirk,TRUE
9,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Jaar,http://dbkwik.webdatacommons.org/starwars.wikia.com/property/name,Jaar,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Jaar,http://dbkwik.webdatacommons.org/swg.wikia.com/property/name,Jaar,TRUE
