,e1,e2,sim
0,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Gladstone,http://dbpedia.org/resource/Gladstone_(disambiguation),1.0
1,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Conan_O%27Brien,http://dbpedia.org/resource/Conan_O'Brien,1.0
2,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Takayama,"http://dbpedia.org/resource/Takayama,_Gifu",1.0
3,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Distress_call,http://dbpedia.org/resource/Mayday,1.0
4,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Anne_Haney,http://dbpedia.org/resource/Anne_Haney,1.0
5,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/George_Burns,http://dbpedia.org/resource/George_Burns,1.0
6,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Mark,http://dbpedia.org/resource/Mark,1.0
7,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Armada,http://dbpedia.org/resource/Armada,1.0
8,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Hannibal,http://dbpedia.org/resource/Hannibal,1.0
9,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Strategic_Air_Command,http://dbpedia.org/resource/Strategic_Air_Command,1.0
10,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Platoon,http://dbpedia.org/resource/Platoon_(film),1.0
11,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Galyn_Görg,http://dbpedia.org/resource/Galyn_Görg,1.0
12,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Lawrence_Tierney,http://dbpedia.org/resource/Lawrence_Tierney,1.0
13,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Stargate,http://dbpedia.org/resource/Stargate,1.0
14,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Bill_Hader,http://dbpedia.org/resource/Bill_Hader,1.0
15,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Syfy,http://dbpedia.org/resource/Syfy,1.0
16,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Edsel,http://dbpedia.org/resource/Edsel,1.0
17,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Robert_E._Lee,http://dbpedia.org/resource/Robert_E._Lee,1.0
18,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Brooks,http://dbpedia.org/resource/Brooks,1.0
19,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Nicholas_Meyer,http://dbpedia.org/resource/Nicholas_Meyer,1.0
20,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Ted_Knight,http://dbpedia.org/resource/Ted_Knight,1.0
21,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/George_Duning,http://dbpedia.org/resource/George_Duning,1.0
22,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Ed_O%27Ross,http://dbpedia.org/resource/Ed_O'Ross,1.0
23,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Wilson,http://dbpedia.org/resource/Wilson,1.0
24,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Willie_Garson,http://dbpedia.org/resource/Willie_Garson,1.0
25,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Gary_Cooper,http://dbpedia.org/resource/Gary_Cooper,1.0
26,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Jason_Isaacs,http://dbpedia.org/resource/Jason_Isaacs,1.0
27,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Mustang,http://dbpedia.org/resource/Ford_Mustang,1.0
28,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/2042,http://dbpedia.org/resource/2042,1.0
29,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Johannes_Brahms,http://dbpedia.org/resource/Johannes_Brahms,1.0
30,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Blackjack,http://dbpedia.org/resource/Blackjack,1.0
31,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/1958,http://dbpedia.org/resource/1958,1.0
32,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/John_Philip_Sousa,http://dbpedia.org/resource/John_Philip_Sousa,1.0
33,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Wheeler,http://dbpedia.org/resource/Wheeler,1.0
34,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Cancún,http://dbpedia.org/resource/Cancún,1.0
35,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/VD,http://dbpedia.org/resource/VD,1.0
36,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Mildred_Natwick,http://dbpedia.org/resource/Mildred_Natwick,1.0
37,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/The_New_Yorker,http://dbpedia.org/resource/The_New_Yorker,1.0
38,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Atlantis,http://dbpedia.org/resource/Atlantis_(disambiguation),1.0
39,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Gregory_Jarvis,http://dbpedia.org/resource/Gregory_Jarvis,1.0
40,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Adam,http://dbpedia.org/resource/Adam,1.0
41,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Bloom,http://dbpedia.org/resource/Bloom,1.0
42,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Talbot,http://dbpedia.org/resource/Talbot,1.0
43,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/1920,http://dbpedia.org/resource/1920,1.0
44,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Emily_Bergl,http://dbpedia.org/resource/Emily_Bergl,1.0
45,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Steven_Berkoff,http://dbpedia.org/resource/Steven_Berkoff,1.0
46,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Merritt_Butrick,http://dbpedia.org/resource/Merritt_Butrick,1.0
47,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/BAS,http://dbpedia.org/resource/BAS,1.0
48,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Len_Deighton,http://dbpedia.org/resource/Len_Deighton,1.0
49,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Euripides,http://dbpedia.org/resource/Euripides,1.0
50,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Bennett,http://dbpedia.org/resource/Bennett,1.0
51,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/John_Wayne,http://dbpedia.org/resource/John_Wayne,1.0
52,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Russell_Watson,http://dbpedia.org/resource/Russell_Watson,1.0
53,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Los_Angeles_Police_Department,http://dbpedia.org/resource/Los_Angeles_Police_Department,1.0
54,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Loren_Shriver,http://dbpedia.org/resource/Loren_Shriver,1.0
55,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Alden,http://dbpedia.org/resource/Alden,1.0
56,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Frank_Borman,http://dbpedia.org/resource/Frank_Borman,1.0
57,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/1932,http://dbpedia.org/resource/1932,1.0
58,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/2004,http://dbpedia.org/resource/2004,1.0
59,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Stella_Adler,http://dbpedia.org/resource/Stella_Adler,1.0
60,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/William_Bligh,http://dbpedia.org/resource/William_Bligh,1.0
61,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Mu,http://dbpedia.org/resource/MU,1.0
62,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Nyack,"http://dbpedia.org/resource/Nyack,_New_York",1.0
63,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Saumur,http://dbpedia.org/resource/Saumur,1.0
64,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Kirby,http://dbpedia.org/resource/Kirby,1.0
65,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Glenfiddich,http://dbpedia.org/resource/Glenfiddich,1.0
66,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Brian_Tyler,http://dbpedia.org/resource/Brian_Tyler,1.0
67,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Titan,http://dbpedia.org/resource/Titan,1.0
68,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/SFX,http://dbpedia.org/resource/SFX,1.0
