,e1,e2,sim
0,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Starfleet_General_Orders_and_Regulations,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Starfleet_General_Orders_and_Regulations,1.0
1,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Cloaking_device,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Cloaking_device,1.0
2,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Doctor,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Doctor,1.0
3,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Telepathy,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Telepathy,1.0
4,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/James_T._Kirk,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/James_T._Kirk,1.0
5,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Sciences_division,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Sciences_division,1.0
6,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Warp_drive,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Warp_drive,1.0
7,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Rank_insignia,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Rank_insignia,1.0
8,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Impulse_drive,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Impulse_drive,1.0
9,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/World_War_III,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/World_War_III,1.0
10,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Benjamin_Sisko,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Benjamin_Sisko,1.0
11,http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Duty_shift,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Duty_shift,1.0
