,Unnamed: 0,e1,e2,sim,Predicted,Analyzed,_merge
1,1,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Temple_of_the_Blueleaf_Cluster,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Temple_of_the_Blueleaf,,,,left_only
10,10,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Nightsister_melee_armguard,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Nightsister_Melee_Armguard,,,,left_only
12,12,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Orden_Tarc,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Lieutenant_Orden_Tarc,,,,left_only
18,18,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/It_Came_From_Mustafar!,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/It_came_from_Mustafar_!,,,,left_only
20,20,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Srimaur,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Tusken_Scholar,,,,left_only
26,26,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Ye-4_gunship,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/YE-4_Gunship,,,,left_only
27,27,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Exar_Kun_fresco,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/An_Exar_Kun_Fresco,,,,left_only
31,31,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/CQ-3.99_holographic_image_disguiser,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Standard_Holoshroud,,,,left_only
37,37,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Scatter_pistol,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/High_Capacity_Scatter_Pistol,,,,left_only
38,38,http://dbkwik.webdatacommons.org/starwars.wikia.com/property/name,http://dbkwik.webdatacommons.org/swg.wikia.com/property/name,,,,left_only
41,41,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Gooberfish,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Nabooian_Angler,,,,left_only
44,44,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Blob_candy,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Blob_Candy,,,,left_only
53,53,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Fa%27Zoll,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Inquisitor_Fa%27Zoll,,,,left_only
54,54,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Geode,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/A_Hoth_Geode,,,,left_only
59,59,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Whuffa_leather,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Whuffa_Leather,,,,left_only
60,60,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Stuffed_Tauntaun_Toy,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/A_Stuffed_Tauntaun_Toy,,,,left_only
66,66,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Rodian_Collector,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Rodian_Collector_Painting,,,,left_only
74,74,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Skaak_Tippers,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Skaak_Tipper,,,,left_only
75,75,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Intense_Performer,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Intense_Performer_(Painting),,,,left_only
82,82,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Vasarian_brandy,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Vasarian_Brandy,,,,left_only
84,84,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Burning_Plains,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/The_Burning_Plains,,,,left_only
85,85,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Corusca_gem/Legends,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Rare_Corusca_Gem,,,,left_only
86,86,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/DH-18A_blaster_pistol,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/DH-18A_Blaster_Pistol_Prototype,,,,left_only
89,89,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Bofa_treat,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Bofa_Treat,,,,left_only
91,91,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Juggernaut%27s_Ring,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Juggernaut_set,,,,left_only
94,94,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Wraith_(Death_Watch),http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Death_Watch_Wraith,,,,left_only
98,98,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/TTLP_soldiers,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/TTLP_Soldier,,,,left_only
