,e1,e2,sim
0,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Talon_Karrde,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Talon_Karrde,1.0
1,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Theed,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Theed,1.0
2,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Luke_Skywalker,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Luke_Skywalker,1.0
3,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Alliance_to_Restore_the_Republic,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Rebel_Alliance,1.0
4,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Reelo_Baruk,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Reelo_Baruk,1.0
5,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Corellian_system,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Corellian_system,1.0
6,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Droopy_McCool,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Droopy_McCool,1.0
7,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Acklay/Legends,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Acklay,1.0
8,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Vynock,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Vynock,1.0
9,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Mustafar/Legends,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Mustafar,1.0
10,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Corellia,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Corellia,1.0
11,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Wedge_Antilles/Legends,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Wedge_Antilles,1.0
12,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Lando_Calrissian,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Lando_Calrissian,1.0
13,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Datapad,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Datapad,1.0
14,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Jedi/Legends,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Jedi,1.0
15,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Rancor/Legends,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Rancor,1.0
16,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Rori,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Rori,1.0
17,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Dantooine/Legends,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Dantooine,1.0
18,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Hanadak,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Hanadak,1.0
19,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Obi-Wan_Kenobi,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Obi-Wan_Kenobi,1.0
20,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Ewok,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Ewok,1.0
21,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Bib_Fortuna/Legends,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Bib_Fortuna,1.0
22,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Watto/Legends,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Watto,1.0
23,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Boba_Fett/Legends,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Boba_Fett,1.0
24,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Star_Wars_Galaxies,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Star_Wars_Galaxies:_An_Empire_Divided,1.0
25,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Durge,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Durge,1.0
26,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Chiss,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Chiss,1.0
27,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/IG-88_assassin_droid/Legends,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/IG-88,1.0
28,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Category:Males,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Category:Minor_quests,1.0
29,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Kreetle,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Kreetle,1.0
30,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Kaadu,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Kaadu,1.0
31,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/C-3PO,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/C-3PO,1.0
32,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Dathomir/Legends,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Dathomir,1.0
33,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Valcyn,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Valcyn,1.0
34,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Leia_Organa,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Leia_Organa,1.0
35,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Tatooine,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Tatooine,1.0
36,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Lok,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Lok,1.0
37,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Xandank,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Xandank,1.0
38,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Galactic_Empire,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Galactic_Empire,1.0
39,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Chewbacca/Legends,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Chewbacca,1.0
40,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Jawa,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Jawa,1.0
41,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/The_Force,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/The_Force,1.0
42,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Mon_Calamari,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Mon_Calamari,1.0
43,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Stormtrooper,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Imperial_Stormtrooper,1.0
44,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Wookiee,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Wookiee,1.0
45,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Yavin_4,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Yavin_IV,1.0
46,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Exar_Kun,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Exar_Kun,1.0
47,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Corran_Horn,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Corran_Horn,1.0
48,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Mara_Jade_Skywalker,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Mara_Jade,1.0
49,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Dewback,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Dewback,1.0
50,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Klaatu,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Klaatu,1.0
51,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Bolotaur,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Bolotaur,1.0
52,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Mynock,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Mynock,1.0
53,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Tusken_Raider/Legends,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Sandpeople,1.0
54,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Bossk/Legends,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Bossk,1.0
55,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Malakili,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Malakili,1.0
56,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Anchorhead,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Anchorhead,1.0
57,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Darth_Sidious,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Emperor_Palpatine,1.0
58,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Gungan,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Gungan,1.0
59,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Anakin_Skywalker,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Darth_Vader,1.0
60,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Lord_Nyax,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Lord_Nyax,1.0
61,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Veermok,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Veermok,1.0
62,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Droideka/Legends,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Droideka,1.0
63,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Worrt,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Worrt,1.0
64,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Kwi,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Kwi,1.0
65,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Mos_Eisley/Legends,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Mos_Eisley,1.0
66,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Gualaar,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Gualaar,1.0
67,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Category:Species_of_undefined_sentience,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Category:Beast,1.0
68,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Han_Solo/Legends,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Han_Solo,1.0
69,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Maximilian_Veers,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Maximilian_Veers,1.0
70,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Wuher,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Wuher,1.0
71,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Category:Paintings_and_posters,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Category:Posters,1.0
72,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Talus,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Talus,1.0
73,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/HK-47,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/HK-47,1.0
74,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Hutt/Legends,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Hutt,1.0
75,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Sarlacc/Legends,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Sarlaac,1.0
76,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/R2-D2/Legends,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/R2-D2,1.0
77,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Jan_Dodonna,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Jan_Dodonna,1.0
78,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Guri,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Guri,1.0
79,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Duros,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Duros,1.0
