,e1,e2,sim
0,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Hutt_Cartel,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Hutt_Cartel,1.0
1,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Darth_Traya,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Darth_Traya,1.0
2,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Odion,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Odion,1.0
3,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Saul_Karath,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Saul_Karath,1.0
4,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Dark_Underlord,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Dark_Underlord,1.0
5,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Darth_Zannah,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Darth_Zannah,1.0
6,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Clan_Ordo,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Clan_Ordo,1.0
7,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Anchorhead,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Anchorhead,1.0
8,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Malachor_V,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Malachor_V,1.0
9,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Star_Wars:_Knights_of_the_Old_Republic_II:_The_Sith_Lords,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Star_Wars_Knights_of_the_Old_Republic_II:_The_Sith_Lords,1.0
10,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Cthon,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Cthon,1.0
11,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Torian_Cadera,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Torian_Cadera,1.0
12,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Shayoto,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Shayoto,1.0
13,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Imperial_Navy,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Imperial_Navy,1.0
14,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Jurgoran,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Jurgoran,1.0
15,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Suudaa_Nem%27ro,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Suudaa_Nem%27ro,1.0
